Timestamp,Username,IP,Hostname,Status,Service
2026-08-01 08:00:46,administrator,10.1.0.10,WIN-FS02,Success,NTLM
2026-08-01 08:01:27,mgarcia,10.1.0.11,WIN-FS02,Success,NTLM
2026-08-01 08:03:58,mgarcia,10.1.0.11,WIN-DC01,Success,NTLM
2026-08-01 08:05:14,svc-sql,10.1.0.11,WIN-DC01,Success,NTLM
2026-08-01 08:07:20,jsmith,10.1.0.11,WIN-APP03,Success,NTLM
2026-08-01 08:09:15,mgarcia,10.1.0.11,WIN-DC01,Success,NTLM
2026-08-01 08:11:10,mgarcia,10.1.0.10,WIN-FS02,Success,NTLM
2026-08-01 08:11:55,kwilliams,10.1.0.10,WIN-DC01,Success,NTLM
2026-08-01 08:12:24,kwilliams,10.1.0.11,WIN-APP03,Success,NTLM
2026-08-01 08:16:16,mgarcia,10.1.0.15,WIN-FS02,Success,NTLM
2026-08-01 08:18:30,administrator,10.1.0.10,WIN-DC01,Success,NTLM
2026-08-01 08:18:54,kwilliams,10.1.0.10,WIN-DC01,Success,NTLM
2026-08-01 08:21:34,administrator,10.1.0.15,WIN-FS02,Success,NTLM
2026-08-01 08:22:22,kwilliams,10.1.0.10,WIN-FS02,Success,NTLM
2026-08-01 08:23:13,jsmith,10.1.0.10,WIN-FS02,Success,NTLM
2026-08-01 08:26:16,administrator,10.1.0.11,WIN-DC01,Success,NTLM
2026-08-01 08:27:04,svc-sql,10.1.0.15,WIN-APP03,Success,NTLM
2026-08-01 08:27:28,administrator,10.1.0.15,WIN-DC01,Success,NTLM
2026-08-01 08:30:51,mgarcia,10.1.0.11,WIN-FS02,Success,NTLM
2026-08-01 08:31:11,administrator,10.1.0.11,WIN-DC01,Success,NTLM
2026-08-01 08:33:57,svc-sql,10.1.0.10,WIN-APP03,Success,NTLM
2026-08-01 08:37:08,jsmith,10.1.0.15,WIN-FS02,Success,NTLM
2026-08-01 08:37:45,administrator,10.1.0.15,WIN-APP03,Success,NTLM
2026-08-01 08:41:26,administrator,10.1.0.15,WIN-DC01,Success,NTLM
2026-08-01 08:43:25,svc-sql,10.1.0.10,WIN-APP03,Success,NTLM
2026-08-01 08:45:24,kwilliams,10.1.0.11,WIN-APP03,Success,NTLM
2026-08-01 08:45:48,kwilliams,10.1.0.10,WIN-FS02,Success,NTLM
2026-08-01 08:47:09,jsmith,10.1.0.15,WIN-APP03,Success,NTLM
2026-08-01 08:50:42,kwilliams,10.1.0.10,WIN-DC01,Success,NTLM
2026-08-01 08:52:32,administrator,10.1.0.11,WIN-APP03,Success,NTLM
2026-08-01 08:53:36,svc-sql,10.1.0.15,WIN-FS02,Success,NTLM
2026-08-01 08:56:37,mgarcia,10.1.0.10,WIN-DC01,Success,NTLM
2026-08-01 09:00:00,svc-sql,10.1.0.10,WIN-FS02,Success,NTLM
2026-08-01 09:01:11,jsmith,10.1.0.10,WIN-DC01,Success,NTLM
2026-08-01 09:02:51,kwilliams,10.1.0.15,WIN-FS02,Success,NTLM
2026-08-01 09:06:39,administrator,10.1.0.11,WIN-FS02,Success,NTLM
2026-08-01 09:07:08,mgarcia,10.1.0.11,WIN-FS02,Success,NTLM
2026-08-01 09:11:08,jsmith,10.1.0.15,WIN-FS02,Success,NTLM
2026-08-01 09:12:37,jsmith,10.1.0.11,WIN-FS02,Success,NTLM
2026-08-01 09:16:44,svc-sql,10.1.0.15,WIN-FS02,Success,NTLM
2026-08-01 09:20:53,svc-sql,10.1.0.11,WIN-DC01,Success,NTLM
2026-08-01 09:23:20,svc-sql,10.1.0.11,WIN-APP03,Success,NTLM
2026-08-01 09:24:48,jsmith,10.1.0.15,WIN-FS02,Success,NTLM
2026-08-01 09:25:28,svc-sql,10.1.0.15,WIN-DC01,Success,NTLM
2026-08-01 09:28:07,kwilliams,10.1.0.11,WIN-DC01,Success,NTLM
